Year,Name,Graduates_Male,Graduates_Female,Employed_Male,Employed_Female,Overseas_Employment_Male,Overseas_Employment_Female,Agriculture_Fishery_Male,Agriculture_Fishery_Female,Creative_Activities_Male,Creative_Activities_Female,Entrepreneurship_Male,Entrepreneurship_Female,Freelancer_Male,Freelancer_Female,Uncounted_Male,Uncounted_Female,Others_Male,Others_Female,Employment_Rate,Pre_Employment_Male,Pre_Employment_Female,Campus_Employment_Male,Campus_Employment_Female
2021,안양대학교,433,495,224,215,0,0,0,0,0,0,6,13,25,32,46,63,132,172,62.9,9,10,4,13
2021,안양대학교 _제2캠퍼스,32,23,18,7,0,0,0,0,0,0,0,1,0,3,1,1,13,11,54.7,0,0,0,0
2021,연세대학교,"2,219","1,914","1,088",939,1,1,0,0,0,0,15,6,84,65,593,459,438,444,71.4,20,48,3,4
2021,연세대학교(미래) _분교,879,775,477,443,0,1,0,0,0,0,7,4,24,38,137,85,234,204,69.4,44,15,1,4
2021,영남대학교,"2,428","2,461","1,163",914,4,8,0,0,0,6,20,16,54,98,231,279,956,"1,140",52.1,40,23,1,1
2021,영남신학대학교,54,41,4,5,0,0,0,0,0,0,0,1,0,2,45,29,5,4,57.1,1,0,0,0
2021,영산대학교,266,282,159,173,0,0,0,0,0,0,2,3,3,5,28,12,74,89,67.9,12,5,0,2
2021,영산대학교 _제2캠퍼스,301,462,160,219,5,2,0,0,0,0,15,20,12,20,25,52,84,149,66,5,18,0,1
2021,영산선학대학교,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
2021,예수대학교,33,117,22,92,0,0,0,0,0,0,1,0,1,0,3,1,6,24,79.5,0,2,0,1
2021,예원예술대학교,42,68,15,32,0,0,0,0,0,0,1,0,5,5,6,10,15,21,61.7,2,2,0,3
2021,예원예술대학교 _제2캠퍼스,19,43,8,14,0,0,0,0,0,0,0,1,2,5,1,2,8,21,50.8,0,0,1,0
2021,용인대학교,725,716,403,356,0,0,0,0,0,0,18,6,78,66,49,33,177,255,68.2,25,18,18,16
2021,우석대학교,830,643,459,339,0,0,0,0,0,0,13,6,27,13,99,66,232,219,65.5,35,6,6,8
2021,우송대학교,"1,008","1,146",526,621,1,5,0,0,0,0,9,11,32,36,177,182,263,291,69.1,6,4,16,33
2021,울산과학기술원,453,144,165,47,0,0,0,0,0,0,0,1,9,1,206,75,73,20,70.6,0,0,1,0
2021,울산대학교,"1,322","1,307",703,550,3,4,0,0,1,13,5,6,29,43,108,82,473,609,55.6,26,21,17,46
2021,원광대학교,"1,550","1,153",874,611,0,0,0,0,0,0,14,12,51,43,135,86,476,401,64.7,8,15,47,45
2021,위덕대학교,276,366,147,196,0,4,0,0,0,0,4,7,3,11,37,50,85,98,67,18,17,2,5
2021,유원대학교,425,376,243,193,1,0,0,0,0,0,5,22,23,21,24,26,129,114,67.6,24,35,0,0
2021,을지대학교,47,116,39,98,0,0,0,0,0,0,0,0,1,0,2,3,5,15,87.3,0,4,0,0
2021,을지대학교 _제2캠퍼스,288,742,195,551,0,0,0,0,0,0,1,0,6,18,12,25,74,148,77.6,5,49,2,19
2021,이화여자대학교,0,"3,364",0,"1,443",0,2,0,0,0,26,0,27,0,173,0,789,0,904,64.9,0,14,0,14
